Site,Date,ID,Length,Length In,WT,LOGLEN,LOGWT,Birthday,Age,Annuli,TotalLength,Fto1,1to2,2to3,3to4,4to5,5to6,6to7,7to8,Ax-M,Sum,O/E,O/E %,ONE L,TWO L,THREE L,FOUR L,FIVE L,SIX L,SEVEN L,EIGHT L
Wateree,6/4/2015,WTP 01,262,10,224.2,2.42,2.35,4/1/2007,8.18,8,4299.8363,2175.7509,524.8543,408.3969,368.3531,287.1237,268.3282,132.5443,94.8683,39.6166,4299.8363,0,0.00%,125,159,185,209,227,245,253,259
Wateree,6/4/2015,WTP 04,253,10,216.4,2.40,2.34,4/1/2007,8.18,8,4706.8461,1677.1046,662.9661,389.3071,381.0354,279.1774,413.3038,389.3071,322.2732,192.3714,4706.8461,0,0.00%,80,118,140,162,178,201,224,242
Wateree,6/4/2015,WTP 07,291,11,318.6,2.46,2.50,4/1/2007,8.18,8,5503.122,1843.9631,690.73,503.1779,357.2394,794.4054,550.8575,378.8087,306.6464,77.2936,5503.122,0,0.00%,87,125,153,173,218,248,270,287
Wateree,6/30/2015,WTP39,276,11,299.1,2.44,2.48,4/1/2007,8.25,8,4882.8832,1943.5925,442.9447,410.5508,419.142,314.3565,321.9938,373.4488,324.7768,332.0773,4882.8832,0,0.00%,100,127,151,176,195,214,237,256
Wateree,5/5/2015,WTP 05,301,12,399.7,2.48,2.60,4/1/2009,6.10,6,5350.6714,1993.3369,765.2059,557.096,622.7295,539.7666,512.57,,,359.9665,5350.6714,0,0.00%,102,147,180,217,249,280,,
Wateree,5/5/2015,WTP 06,283,11,339,2.45,2.53,4/1/2009,6.10,6,4144.3369,2282.6826,459.9304,456.71,436.1468,235.2275,190.683,,,82.9566,4144.3369,0,0.00%,149,182,215,246,263,277,,
Wateree,6/4/2015,WTP 08,278,11,322.5,2.44,2.51,4/1/2009,6.18,6,5070.9407,2419.161,681.2048,555.964,539.3329,408,314.8714,,,152.4066,5070.9407,0,0.00%,124,164,196,227,251,269,,
Wateree,6/4/2015,WTP 11,262,10,252.2,2.42,2.40,4/1/2009,6.18,6,4829.4074,2099.7257,721.2489,533.1904,516.9758,379.9474,554.148,,,24.1712,4829.4074,0,0.00%,105,146,177,207,229,261,,
Wateree,6/4/2015,WTP 12,200,8,107.8,2.30,2.03,4/1/2009,6.18,6,4360.8238,1831.3274,853.6252,449.0791,402.4922,325.3859,381.366,,,117.548,4360.8238,0,0.00%,75,117,139,159,175,194,,
Wateree,6/30/2015,WTP 06,253,10,213.3,2.40,2.33,4/1/2009,6.25,6,5091.8547,2446.8821,797.2779,652.3465,511.269,366.1967,267.9254,,,49.9571,5091.8547,0,0.00%,113,155,190,217,236,250,,
